KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K07295,"NR2AN, dsf; nuclear receptor subfamily 2 group A",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08524,"RXRA, NR2B1; retinoid X receptor alpha",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08525,"RXRB, NR2B2; retinoid X receptor beta",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08526,"RXRG, NR2B3; retinoid X receptor gamma",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K14030,"NR2B4, usp; nuclear receptor subfamily 2 group B member 4",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08543,"NR2C1, TR2; testicular receptor 2",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08544,"NR2C2, TR4; testicular receptor 4",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K14031,NR2CN; nuclear receptor subfamily 2 group C,Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08545,"NR2E1, TLX, tll; nuclear receptor subfamily 2 group E member 1",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08546,"NR2E3, PNR; nuclear receptor subfamily 2 group E member 3",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08547,"NR2F1, TFCOUP1; COUP transcription factor 1",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08548,"NR2F2, TFCOUP2; COUP transcription factor 2",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K14032,"NR2F3, svp; nuclear receptor subfamily 2 group F member 3",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08702,"NR2F5, SVP46; nuclear receptor subfamily 2 group F member 5",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08549,"NR2F6, EAR2; nuclear receptor subfamily 2 group F member 6",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08550,"ESR1, NR3A1; estrogen receptor alpha",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08551,"ESR2, NR3A2; estrogen receptor beta",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08552,"NR3B1, ESRRA; estrogen-related receptor alpha",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08553,"NR3B2, ESRRB; estrogen-related receptor beta",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08554,"NR3B3, ESRRG; estrogen-related receptor gamma",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08703,"NR3BN, ERR; estrogen-related receptor ERR",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K05771,"NR3C1, GR; glucocorticoid receptor",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08555,"NR3C2, MR; mineralocorticoid receptor",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08556,"PGR, NR3C3; progesterone receptor",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K08557,"AR, NR3C4; androgen receptor",Eukaryotic type,Zinc finger,Cys4 estrogen receptor-like
K04465,"NR4A1, HMR; nuclear receptor subfamily 4 group A member 1",Eukaryotic type,Zinc finger,Cys4 nerve growth factor IB-like
K08558,"NR4A2, NURR1; nuclear receptor subfamily 4 group A member 2",Eukaryotic type,Zinc finger,Cys4 nerve growth factor IB-like
K08559,"NR4A3, NOR1; nuclear receptor subfamily 4 group A member 3",Eukaryotic type,Zinc finger,Cys4 nerve growth factor IB-like
K08560,"NR5A1, SF1; steroidogenic factor 1",Eukaryotic type,Zinc finger,Cys4 Fushi tarazu-F1-like
K08027,"NR5A2, FTF; nuclear receptor subfamily 5 group A member 2",Eukaryotic type,Zinc finger,Cys4 Fushi tarazu-F1-like
K08705,"NR5A3, ftz-f1; nuclear receptor subfamily 5 group A member 3",Eukaryotic type,Zinc finger,Cys4 Fushi tarazu-F1-like
K08561,"NR6A1, GCNF; germ cell nuclear factor",Eukaryotic type,Zinc finger,Cys4 germ cell nuclear factor
K09185,NR6AN; nuclear receptor subfamily 6 group A,Eukaryotic type,Zinc finger,Cys4 germ cell nuclear factor
K08706,"NR0AN, kni; nuclear receptor subfamily 0 group A",Eukaryotic type,Zinc finger,Cys4 Knirps/DAX1-like
K08562,"NR0B1, DAX1; nuclear receptor subfamily 0 group B member 1",Eukaryotic type,Zinc finger,Cys4 Knirps/DAX1-like
K08563,"NR0B2, SHP; nuclear receptor subfamily 0 group B member 2",Eukaryotic type,Zinc finger,Cys4 Knirps/DAX1-like
K09182,GATA1; GATA-binding protein 1,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17894,GATA2; GATA-binding protein 2,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17895,GATA3; GATA-binding protein 3,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K09183,GATA4; GATA-binding protein 4,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17896,GATA5; GATA-binding protein 5,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17897,GATA6; GATA-binding protein 6,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K09184,"GATAF; GATA-binding protein, other eukaryote",Eukaryotic type,Zinc finger,Cys4 GATA-factors
K21630,ZGLP1; GATA-type zinc finger protein 1,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K22040,TRPS1; atypical GATA-binding protein TRPS1,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K23407,GATAD1; GATA zinc finger domain-containing protein 1,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K23194,GATAD2; transcriptional repressor p66,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K05628,RERE; arginine-glutamic acid dipeptide repeats protein,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K11660,MTA; metastasis-associated protein MTA,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17398,DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37],Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17399,DNMT3B; DNA (cytosine-5)-methyltransferase 3B [EC:2.1.1.37],Eukaryotic type,Zinc finger,Cys4 GATA-factors
K17400,DNMT3L; DNA (cytosine-5)-methyltransferase 3-like,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K10779,ATRX; transcriptional regulator ATRX,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K18658,ASH1; transcriptional regulatory protein ASH1,Eukaryotic type,Zinc finger,Cys4 GATA-factors
K04684,SP1; transcription factor Sp1,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09192,SP2; transcription factor Sp2,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09193,SP3; transcription factor Sp3,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09194,SP4; transcription factor Sp4,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09195,SP5; transcription factor Sp5,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09196,SP6; transcription factor Sp6,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09197,SP7; transcription factor Sp7,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09198,SP8; transcription factor Sp8,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09199,SP9; transcription factor Sp9,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09200,"SP-N; transcription factor Sp, invertebrate",Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09204,KLF1; krueppel-like factor 1,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K17845,KLF2; krueppel-like factor 2,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K15605,KLF3; krueppel-like factor 3,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K17846,KLF4; krueppel-like factor 4,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09206,KLF5; krueppel-like factor 5,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09207,KLF6_7; krueppel-like factor 6/7,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09205,KLF8_12; krueppel-like factor 8/12,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09208,"KLF9S, BTEB; krueppel-like factor 9/13/14/16",Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09209,"KLF10_11, TIEG; krueppel-like factor 10/11",Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09210,KLF15; krueppel-like factor 15,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09211,KLF17; krueppel-like factor 17,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09203,EGR1; early growth response protein 1,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K12496,EGR2; early growth response protein 2,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K12497,EGR3; early growth response protein 3,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K12498,EGR4; early growth response protein 4,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09202,SWI5; regulatory protein SWI5,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K09234,WT1; Wilms tumor protein 1,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K27541,ZFX_Y; zinc finger X/Y-chromosomal protein,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K12379,HKB; huckebein,Eukaryotic type,Zinc finger,Cys2His2 SP/KLF family and related proteins
K16797,GLI1; zinc finger protein GLI1,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K16798,GLI2; zinc finger protein GLI2,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K06230,GLI3; zinc finger protein GLI3,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K09232,GLIS1_3; zinc finger protein GLIS1/3,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K09233,GLIS2; zinc finger protein GLIS2,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K09224,ZIC1; zinc finger protein ZIC 1,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K06235,ZIC2; zinc finger protein ZIC 2,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K18487,ZIC3; zinc finger protein ZIC 3,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K09225,ZIC4; zinc finger protein ZIC 4,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K09226,ZIC5; zinc finger protein ZIC 5,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K09227,"ZICN; zinc finger protein ZIC, invertebrate",Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K16799,CI; transcriptional activator cubitus interruptus,Eukaryotic type,Zinc finger,Cys2His2 GLI-like
K05707,SNAI1; snail 1,Eukaryotic type,Zinc finger,Cys2His2 Snail
K05706,"SNAI2, SLUG; snail 2",Eukaryotic type,Zinc finger,Cys2His2 Snail
K09217,SNAI3; snail 3,Eukaryotic type,Zinc finger,Cys2His2 Snail
K09219,SCRT; scratch,Eukaryotic type,Zinc finger,Cys2His2 Snail
K25795,INSM; insulinoma-associated protein,Eukaryotic type,Zinc finger,Cys2His2 Snail
K10488,ZBTB1; zinc finger and BTB domain-containing protein 1,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10489,ZBTB2; zinc finger and BTB domain-containing protein 2,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10490,ZBTB3; zinc finger and BTB domain-containing protein 3,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10491,ZBTB4; zinc finger and BTB domain-containing protein 4,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10492,ZBTB5; zinc finger and BTB domain-containing protein 5,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10493,ZBTB6; zinc finger and BTB domain-containing protein 6,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10494,ZBTB7; zinc finger and BTB domain-containing protein 7,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10495,ZBTB8; zinc finger and BTB domain-containing protein 8,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10496,ZBTB9; zinc finger and BTB domain-containing protein 9,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10497,"ZBTB10, RINZF; zinc finger and BTB domain-containing protein 10",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10498,ZBTB11; zinc finger and BTB domain-containing protein 11,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10499,ZBTB12; zinc finger and BTB domain-containing protein 12,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24804,ZBTB14; zinc finger and BTB domain-containing protein 14,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10055,"ZBTB16, PLZF; zinc finger and BTB domain-containing protein 16",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10500,"ZBTB17, MIZ1; zinc finger and BTB domain-containing protein 17",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10501,"ZBTB20, HOF, DPZF; zinc finger and BTB domain-containing protein 20",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24805,ZBTB21; zinc finger and BTB domain-containing protein 21,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10502,"ZBTB22, BING1; zinc finger and BTB domain-containing protein 22",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10503,"ZBTB24, BIF1; zinc finger and BTB domain-containing protein 24",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10504,ZBTB25; zinc finger and BTB domain-containing protein 25,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10505,ZBTB26; zinc finger and BTB domain-containing protein 26,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10506,"ZBTB32, TZFP; zinc finger and BTB domain-containing protein 32",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10507,"ZBTB33, KAISO; zinc finger and BTB domain-containing protein 33",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10508,ZBTB34; zinc finger and BTB domain-containing protein 34,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24806,"ZBTB35, ZNF131; zinc finger and BTB domain-containing protein 35",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10509,ZBTB37; zinc finger and BTB domain-containing protein 37,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10510,ZBTB38; zinc finger and BTB domain-containing protein 38,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10511,ZBTB39; zinc finger and BTB domain-containing protein 39,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10512,ZBTB40; zinc finger and BTB domain-containing protein 40,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10513,ZBTB41; zinc finger and BTB domain-containing protein 41,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10514,ZBTB43; zinc finger and BTB domain-containing protein 43,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10515,"ZBTB44, BTBD15; zinc finger and BTB domain-containing protein 44",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10516,ZBTB45; zinc finger and BTB domain-containing protein 45,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10517,"ZBTB46, BTBD4; zinc finger and BTB domain-containing protein 46",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10518,ZBTB47; zinc finger and BTB domain-containing protein 47,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K10519,"ZBTB48, HKR3; zinc finger and BTB domain-containing protein 48",Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24807,ZBTB49; zinc finger and BTB domain-containing protein 49,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K23196,ZBTB18_42; zinc finger and BTB domain-containing protein 18/42,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K22402,GZF1; GDNF-inducible zinc finger protein 1,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K15618,BCL6; B-cell lymphoma 6 protein,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K22648,BCL6B; B-cell CLL/lymphoma 6 member B protein,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24383,PATZ1; POZ-AT hook zinc finger protein 1,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K26610,VEZF1; vascular endothelial zinc finger 1,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24384,HIC; hypermethylated in cancer protein,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24385,MYNN; myoneurin,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K09237,TTK; tramtrack,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K02174,BR-C; broad-complex core protein,Eukaryotic type,Zinc finger,Cys2His2 BTB-ZF factors
K24637,ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-],Eukaryotic type,Zinc finger,Cys2His2 BED
K24638,ZBED2; zinc finger BED domain-containing protein 2,Eukaryotic type,Zinc finger,Cys2His2 BED
K24639,ZBED3; zinc finger BED domain-containing protein 3,Eukaryotic type,Zinc finger,Cys2His2 BED
K24640,ZBED4; zinc finger BED domain-containing protein 4,Eukaryotic type,Zinc finger,Cys2His2 BED
K24641,ZBED6; zinc finger BED domain-containing protein 6,Eukaryotic type,Zinc finger,Cys2His2 BED
K24501,PRDM1; PR domain zinc finger protein 1 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K11432,"PRDM2, RIZ; [histone H3]-lysine9 N-trimethyltransferase PRDM2 [EC:2.1.1.355]",Eukaryotic type,Zinc finger,Cys2His2 PRDM
K04462,"MECOM, EVI1, PRDM3; [histone H3]-lysine9 N-methyltransferase (ecotropic virus integration site 1 protein) [EC:2.1.1.367]",Eukaryotic type,Zinc finger,Cys2His2 PRDM
K12463,PRDM4; PR domain zinc finger protein 4 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K22534,PRDM5; PR domain zinc finger protein 5 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K20795,PRDM6; [histone H4]-lysine20 N-methyltransferase PRDM6 [EC:2.1.1.361],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K20796,PRDM7_9; [histone H3]-lysine4 N-trimethyltransferase PRDM7/9 [EC:2.1.1.354],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K20797,PRDM8; PR domain zinc finger protein 8 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K24643,PRDM10; PR domain zinc finger protein 10 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K24644,PRDM11; PR domain zinc finger protein 11 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K24645,PRDM13; PR domain zinc finger protein 13 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K24646,PRDM14; PR domain zinc finger protein 14 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K24647,PRDM15; PR domain zinc finger protein 15 [EC:2.1.1.-],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K22410,PRDM16; [histone H3]-lysine9 N-methyltransferase [EC:2.1.1.367],Eukaryotic type,Zinc finger,Cys2His2 PRDM
K09238,ACE2; metallothionein expression activator,Eukaryotic type,Zinc finger,Cys2His2 metabolic regulators in fungi
K09466,ADR1; zinc finger protein ADR1,Eukaryotic type,Zinc finger,Cys2His2 metabolic regulators in fungi
K09467,MIG; zinc-finger protein CreA/MIG,Eukaryotic type,Zinc finger,Cys2His2 metabolic regulators in fungi
K09468,MSN2_4; zinc finger protein MSN2/4,Eukaryotic type,Zinc finger,Cys2His2 metabolic regulators in fungi
K19798,GIS1; transcriptional activator/repressor GIS1,Eukaryotic type,Zinc finger,Cys2His2 metabolic regulators in fungi
K19799,RPH1; DNA damage-responsive transcriptional repressor / [histone H3]-trimethyl-L-lysine36 demethylase [EC:1.14.11.69],Eukaryotic type,Zinc finger,Cys2His2 metabolic regulators in fungi
K09215,"OSR, ODD; odd-skipped",Eukaryotic type,Zinc finger,Cys2His2 others
K09216,OVOL; ovo,Eukaryotic type,Zinc finger,Cys2His2 others
K09220,"IKZF, ZNFN1A; IKAROS family zinc finger protein",Eukaryotic type,Zinc finger,Cys2His2 others
K09221,MZF1; myeloid zinc finger protein 1,Eukaryotic type,Zinc finger,Cys2His2 others
K09222,REST; RE1-silencing transcription factor,Eukaryotic type,Zinc finger,Cys2His2 others
K09223,GFI1; growth factor independent 1,Eukaryotic type,Zinc finger,Cys2His2 others
K09236,TSHZ; teashirt,Eukaryotic type,Zinc finger,Cys2His2 others
K09239,HIVEP; human immunodeficiency virus type I enhancer-binding protein,Eukaryotic type,Zinc finger,Cys2His2 others
K17452,AEBP2; zinc finger protein AEBP2,Eukaryotic type,Zinc finger,Cys2His2 others
K19484,PLAG1; zinc finger protein PLAG1,Eukaryotic type,Zinc finger,Cys2His2 others
K19485,PLAGL1; zinc finger protein PLAGL1,Eukaryotic type,Zinc finger,Cys2His2 others
K19486,PLAGL2; zinc finger protein PLAGL2,Eukaryotic type,Zinc finger,Cys2His2 others
K20210,RREB1; ras-responsive element-binding protein 1,Eukaryotic type,Zinc finger,Cys2His2 others
K22045,BCL11A; B-cell lymphoma/leukemia 11A,Eukaryotic type,Zinc finger,Cys2His2 others
K22046,BCL11B; B-cell lymphoma/leukemia 11B,Eukaryotic type,Zinc finger,Cys2His2 others
K22401,E4F1; transcription factor E4F1 / E3 ubiquitin-protein ligase [EC:2.3.2.27],Eukaryotic type,Zinc finger,Cys2His2 others
K23195,"CTCF, CTCFL; transcriptional repressor CTCF",Eukaryotic type,Zinc finger,Cys2His2 others
K23317,MTF1; metal regulatory transcription factor 1,Eukaryotic type,Zinc finger,Cys2His2 others
K24146,BNC; zinc finger protein basonuclin,Eukaryotic type,Zinc finger,Cys2His2 others
K09191,GTF3A; general transcription factor IIIA,Eukaryotic type,Zinc finger,Cys2His2 others
K09201,YY; transcription factor YY,Eukaryotic type,Zinc finger,Cys2His2 others
K07466,"RFA1, RPA1, rpa; replication factor A1",Eukaryotic type,Zinc finger,Cys2His2 others
K26101,"ZNF16, HZF1; zinc finger protein 16",Eukaryotic type,Zinc finger,Cys2His2 others
K24851,ZNF142; zinc finger protein 142,Eukaryotic type,Zinc finger,Cys2His2 others
K24370,ZNF148; zinc finger protein 148,Eukaryotic type,Zinc finger,Cys2His2 others
K27241,ZNF219; zinc finger protein 219,Eukaryotic type,Zinc finger,Cys2His2 others
K12458,ZNF274; zinc finger protein 274,Eukaryotic type,Zinc finger,Cys2His2 others
K26728,ZNF292; zinc finger protein 292,Eukaryotic type,Zinc finger,Cys2His2 others
K24371,ZNF335; zinc finger protein 335,Eukaryotic type,Zinc finger,Cys2His2 others
K24852,ZNF341; zinc finger protein 341,Eukaryotic type,Zinc finger,Cys2His2 others
K23480,"ZNF362_384, LIN-29; zinc finger protein 362/384",Eukaryotic type,Zinc finger,Cys2His2 others
K26729,ZNF407; Zinc finger protein 407,Eukaryotic type,Zinc finger,Cys2His2 others
K24372,ZNF408; zinc finger protein 408,Eukaryotic type,Zinc finger,Cys2His2 others
K25858,ZNF410; zinc finger protein 410,Eukaryotic type,Zinc finger,Cys2His2 others
K22870,ZNF423; zinc finger protein 423,Eukaryotic type,Zinc finger,Cys2His2 others
K24853,ZNF462; zinc finger protein 462,Eukaryotic type,Zinc finger,Cys2His2 others
K24373,ZNF513; zinc finger protein 513,Eukaryotic type,Zinc finger,Cys2His2 others
K22411,ZNF516; zinc finger protein 516,Eukaryotic type,Zinc finger,Cys2His2 others
K24916,"ZNF521, EVI3; zinc finger protein 521",Eukaryotic type,Zinc finger,Cys2His2 others
K26978,ZNF526_574; zinc finger protein 526/574,Eukaryotic type,Zinc finger,Cys2His2 others
K27242,ZNF536; zinc finger protein 536,Eukaryotic type,Zinc finger,Cys2His2 others
K24692,ZNF638; zinc finger protein 638,Eukaryotic type,Zinc finger,Cys2His2 others
K24374,ZNF644; zinc finger protein 644,Eukaryotic type,Zinc finger,Cys2His2 others
K27106,ZNF668; zinc finger protein 668,Eukaryotic type,Zinc finger,Cys2His2 others
K24375,ZNF687; zinc finger protein 687,Eukaryotic type,Zinc finger,Cys2His2 others
K24376,ZNF711; zinc finger protein 711,Eukaryotic type,Zinc finger,Cys2His2 others
K24377,ZNF750; zinc finger protein 750,Eukaryotic type,Zinc finger,Cys2His2 others
K09228,KRAB; KRAB domain-containing zinc finger protein,Eukaryotic type,Zinc finger,Cys2His2 others
K09229,ZKSCAN; KRAB and SCAN domains-containing zinc finger protein,Eukaryotic type,Zinc finger,Cys2His2 others
K09230,SCAN; SCAN domain-containing zinc finger protein,Eukaryotic type,Zinc finger,Cys2His2 others
K24502,FEZF; Fez family zinc finger protein,Eukaryotic type,Zinc finger,Cys2His2 others
K25209,CASZ1; zinc finger protein castor,Eukaryotic type,Zinc finger,Cys2His2 others
K25794,HINFP; histone H4 transcription factor,Eukaryotic type,Zinc finger,Cys2His2 others
K09231,KR; krueppel,Eukaryotic type,Zinc finger,Cys2His2 others
K13943,CBT; cabut,Eukaryotic type,Zinc finger,Cys2His2 others
K09213,HB; hunchback,Eukaryotic type,Zinc finger,Cys2His2 others
K09214,GL; glass,Eukaryotic type,Zinc finger,Cys2His2 others
K02215,CF2; chorion factor 2,Eukaryotic type,Zinc finger,Cys2His2 others
K22535,DRM; drumstick,Eukaryotic type,Zinc finger,Cys2His2 others
K25869,IDD1_2; zinc finger protein IDD1/2,Eukaryotic type,Zinc finger,Cys2His2 others
K25870,IDD3S; zinc finger protein IDD3/4/5/6/7/8/9/10/11/12/13,Eukaryotic type,Zinc finger,Cys2His2 others
K25871,IDD14_15_16; zinc finger protein IDD14/15/16,Eukaryotic type,Zinc finger,Cys2His2 others
K09235,RME1; zinc finger protein RME1,Eukaryotic type,Zinc finger,Cys2His2 others
K09465,BRLA; zinc finger protein BrlA,Eukaryotic type,Zinc finger,Cys2His2 others
K19487,SFP1; transcription factor SFP1,Eukaryotic type,Zinc finger,Cys2His2 others
K22412,SDC-1; zinc finger protein Sdc-1,Eukaryotic type,Zinc finger,Cys2His2 others
K21455,CON7; transcription factor CON7,Eukaryotic type,Zinc finger,Cys2His2 others
K21543,"CRZ1, CRZA; transcription factor CRZ1",Eukaryotic type,Zinc finger,Cys2His2 others
K21544,"NSF1, BCR1, DVRA; C2H2 transcription facotor",Eukaryotic type,Zinc finger,Cys2His2 others
K21545,"MNL1, SEB1, SEBA, COM2; C2H2 transcription facotor",Eukaryotic type,Zinc finger,Cys2His2 others
K21597,CAS5; cell wall integrity transcriptional regulator CAS5,Eukaryotic type,Zinc finger,Cys2His2 others
K23192,MYT1; myelin transcription factor 1,Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
